ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
13002591,01/01/2014 12:00:00 AM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,834.0,8.0,18.0,,
12098423,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,212.0,2.0,3.0,,
12594723,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,OTHER (SPECIFY),False,True,232.0,2.0,20.0,,
10732536,01/01/2014 12:00:00 AM,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,False,False,523.0,5.0,9.0,,
10466568,01/01/2014 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,False,512.0,5.0,9.0,,
10301876,01/01/2014 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,822.0,8.0,14.0,41.789074063,-87.7046525633
10998302,01/01/2014 12:00:00 AM,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,False,True,2531.0,25.0,29.0,,
10836025,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1011.0,10.0,24.0,,
12197933,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,False,True,2534.0,25.0,37.0,,
10497037,01/01/2014 12:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,1013.0,10.0,22.0,,
10287560,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,1834.0,18.0,42.0,41.8895225633,-87.6170386253
11123236,01/01/2014 12:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,DAY CARE CENTER,False,False,532.0,5.0,9.0,,
11885005,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,False,True,812.0,8.0,13.0,,
10469794,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,222.0,2.0,4.0,,
11469257,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1523.0,15.0,28.0,,
12359442,01/01/2014 12:00:00 AM,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,2512.0,25.0,30.0,,
11487402,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,OTHER,False,False,624.0,6.0,6.0,,
11118358,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,823.0,8.0,15.0,,
10819100,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1522.0,15.0,29.0,,
10442138,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,False,True,1112.0,11.0,27.0,,
12178969,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,2211.0,22.0,19.0,,
10499579,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1011.0,10.0,24.0,,
12126679,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,2234.0,22.0,34.0,,
10466778,01/01/2014 12:00:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,321.0,3.0,20.0,,
11276244,01/01/2014 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,2212.0,22.0,19.0,,
11587303,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1121.0,11.0,27.0,,
10553459,01/01/2014 12:00:00 AM,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,2424.0,24.0,49.0,,
10396974,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,834.0,8.0,18.0,,
11603222,01/01/2014 12:00:00 AM,ASSAULT,SIMPLE,RESIDENCE,False,True,622.0,6.0,21.0,,
10199744,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,APARTMENT,False,False,934.0,9.0,16.0,41.8004923451,-87.6623238824
10196111,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,513.0,5.0,34.0,41.6980312727,-87.6248908209
11835107,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,1832.0,18.0,2.0,,
11967245,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,225.0,2.0,3.0,,
11433127,01/01/2014 12:00:00 AM,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,833.0,8.0,13.0,,
12167258,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,BARBERSHOP,False,False,531.0,5.0,9.0,,
10449004,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,331.0,3.0,5.0,,
11831695,01/01/2014 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,1233.0,12.0,25.0,,
11148204,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FORGERY,OTHER,False,False,131.0,1.0,3.0,,
11406110,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,512.0,5.0,9.0,,
11403889,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,True,811.0,8.0,23.0,,
10778567,01/01/2014 12:00:00 AM,SEX OFFENSE,OTHER,APARTMENT,False,False,414.0,4.0,8.0,,
12357943,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,False,True,1023.0,10.0,28.0,,
11251757,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,1032.0,10.0,22.0,,
10527522,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,835.0,8.0,18.0,,
11126843,01/01/2014 12:01:00 AM,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,False,False,621.0,6.0,17.0,,
11569966,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,True,True,621.0,6.0,6.0,,
10993547,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,2222.0,22.0,21.0,,
10375280,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1014.0,10.0,24.0,,
10561554,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1412.0,14.0,35.0,,
11303431,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,911.0,9.0,12.0,,
11260651,01/01/2014 12:01:00 AM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,True,False,1414.0,14.0,35.0,,
11776600,01/01/2014 12:01:00 AM,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,RESIDENCE,False,False,1622.0,16.0,45.0,,
11254140,01/01/2014 12:01:00 AM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,True,False,1414.0,14.0,35.0,,
11353964,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,612.0,6.0,21.0,,
10355680,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,1432.0,14.0,32.0,41.9211837193,-87.6875279087
12614006,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,False,923.0,9.0,14.0,41.7963595835,-87.6950940391
10415973,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,EMBEZZLEMENT,"SCHOOL, PUBLIC, BUILDING",True,False,1621.0,16.0,41.0,,
10954493,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,False,True,2233.0,22.0,34.0,,
12034615,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,933.0,9.0,20.0,,
11267460,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,False,False,424.0,4.0,10.0,,
10633933,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,False,False,313.0,3.0,20.0,,
11856227,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,212.0,2.0,4.0,,
12321298,01/01/2014 12:01:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,COMMERCIAL / BUSINESS OFFICE,True,False,234.0,2.0,5.0,,
10146146,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1024.0,10.0,22.0,41.8492600766,-87.706394268
10445834,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,False,False,832.0,8.0,18.0,,
11557843,01/01/2014 12:01:00 AM,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,OTHER,False,True,1611.0,16.0,41.0,,
10431903,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,False,False,1733.0,17.0,33.0,,
11131136,01/01/2014 12:01:00 AM,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),False,False,1733.0,17.0,33.0,,
11560373,01/01/2014 12:01:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,False,1123.0,11.0,28.0,,
12272580,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,934.0,9.0,16.0,,
11036494,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,512.0,5.0,9.0,,
10424615,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1731.0,17.0,30.0,,
10554149,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,1522.0,15.0,29.0,,
10767017,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,421.0,4.0,7.0,,
12358060,01/01/2014 12:01:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,833.0,8.0,13.0,,
11013621,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,False,False,1915.0,19.0,46.0,,
12179895,01/01/2014 12:01:00 AM,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,False,True,311.0,3.0,20.0,,
10396646,01/01/2014 12:01:00 AM,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,1132.0,11.0,24.0,,
10502768,01/01/2014 12:01:00 AM,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,False,False,414.0,4.0,8.0,,
12018029,01/01/2014 12:01:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,513.0,5.0,34.0,,
10002447,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,2412.0,24.0,50.0,41.9979204077,-87.6788724998
9897526,01/01/2014 12:01:00 AM,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,223.0,2.0,3.0,41.80761384,-87.613385208
10026454,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1824.0,18.0,42.0,41.9083054734,-87.6287939353
12231979,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,True,True,1112.0,11.0,37.0,,
10218946,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,331.0,3.0,5.0,41.7727692143,-87.5699558435
11394310,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,False,True,423.0,4.0,10.0,,
10097136,01/01/2014 12:01:00 AM,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,2514.0,25.0,31.0,41.9355677436,-87.7651663451
11574933,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,False,False,722.0,7.0,20.0,,
10002750,01/01/2014 12:01:00 AM,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,False,False,2211.0,22.0,19.0,,
11150201,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,811.0,8.0,23.0,,
10367444,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,112.0,1.0,42.0,,
10063459,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,432.0,4.0,10.0,41.7109403231,-87.5340744597
11967807,01/01/2014 12:01:00 AM,OTHER OFFENSE,HARASSMENT BY TELEPHONE,GOVERNMENT BUILDING/PROPERTY,False,False,122.0,1.0,42.0,,
10402807,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,True,True,1233.0,12.0,25.0,,
10882172,01/01/2014 12:01:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,False,False,1421.0,14.0,26.0,,
11147654,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,1421.0,14.0,35.0,,
10058410,01/01/2014 12:01:00 AM,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,OTHER,False,False,1921.0,19.0,47.0,41.9394444188,-87.6895967681
9896254,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,833.0,8.0,18.0,41.752835274,-87.719310147
11230193,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,234.0,2.0,5.0,,
10947264,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,True,1011.0,10.0,24.0,,
11621028,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,True,True,722.0,7.0,20.0,,
10038749,01/01/2014 12:01:00 AM,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,False,False,1724.0,17.0,33.0,41.9551825783,-87.710507865
11204566,01/01/2014 12:01:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,False,True,911.0,9.0,12.0,,
11695638,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,EMBEZZLEMENT,COMMERCIAL / BUSINESS OFFICE,False,False,1621.0,16.0,39.0,,
11149297,01/01/2014 12:01:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,False,2535.0,25.0,26.0,,
10546709,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,822.0,8.0,14.0,,
10424395,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1233.0,12.0,2.0,,
11145035,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,False,False,1112.0,11.0,27.0,,
10820500,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,False,False,1713.0,17.0,33.0,,
11017525,01/01/2014 12:01:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,522.0,5.0,34.0,,
10432679,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,213.0,2.0,3.0,,
10588621,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,424.0,4.0,7.0,,
10098466,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,False,2413.0,24.0,40.0,41.992260867,-87.681104494
11585519,01/01/2014 12:01:00 AM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,513.0,5.0,9.0,,
11353943,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,831.0,8.0,23.0,,
10572644,01/01/2014 12:01:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,False,311.0,3.0,20.0,,
11487920,01/01/2014 12:01:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,824.0,8.0,16.0,,
11621026,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,True,True,621.0,6.0,6.0,,
10154125,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,True,2232.0,22.0,34.0,41.7069393288,-87.6410972173
11285418,01/01/2014 12:01:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,734.0,7.0,17.0,,
11271173,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,False,True,423.0,4.0,10.0,,
10155890,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,CHA APARTMENT,False,False,1231.0,12.0,2.0,41.8669703428,-87.658258875
10733723,01/01/2014 12:01:00 AM,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,False,False,823.0,8.0,15.0,,
11135470,01/01/2014 12:01:00 AM,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,True,835.0,8.0,18.0,,
11838303,01/01/2014 12:01:00 AM,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,RESIDENCE,False,True,1133.0,11.0,24.0,,
12383450,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,False,False,621.0,6.0,17.0,,
11519232,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,True,431.0,4.0,7.0,,
10784470,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,2234.0,22.0,34.0,,
12207448,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,823.0,8.0,16.0,,
